City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
452,Camocim,BR,80.53,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
454,Bellinzona,CH,46.35,overcast clouds,46.1928,9.017,Albergo-Ristorante Croce Federale
455,Ribeirao Branco,BR,67.64,broken clouds,-24.2208,-48.7656,Restaurante Hotel Andorinhas
456,Alofi,NU,81.57,light rain,-19.0595,-169.9187,Taloa Heights
460,Sayyan,YE,50.83,clear sky,15.1718,44.3244,ملاطف ابوحورية
461,Banjarmasin,ID,75.34,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
462,Manakara,MG,75.4,moderate rain,-22.1333,48.0167,La Residence Manakara
463,Balaipungut,ID,75.61,scattered clouds,1.05,101.2833,
464,Racale,IT,42.35,clear sky,39.9631,18.0938,B&B Gallipoli Salento al mare
465,Almeria,ES,50.43,scattered clouds,37.1667,-2.3333,Casa Rural El Laurel
